,,,,,,,Playing Time,,,,Performance,,,,,,,,Per 90 Minutes,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
,,,,,,,,,,,,,?,,,,,,,,,,,
178,Albian Hajdari,xk KVX,DF,Hoffenheim,22-297,2003,22,21,"1,808",20.1,1,1,2,1,0,0,8,0,0.05,0.05,0.1,0.05,0.1,Matches
179,Ramon Hendriks,nl NED,DF,Stuttgart,24-236,2001,22,15,"1,329",14.8,0,2,2,0,0,0,2,0,0,0.14,0.14,0,0.14,Matches
180,Lucas Höler,de GER,"FW,MF",Freiburg,31-244,1994,24,18,"1,448",16.1,1,1,2,1,0,0,1,0,0.06,0.06,0.12,0.06,0.12,Matches
181,Ricky Jade-Jones,eng ENG,FW,St Pauli,24-260,2001,8,3,337,3.7,2,0,2,2,0,0,1,0,0.53,0,0.53,0.53,0.53,Matches
182,Kristijan Jaki?,hr CRO,"MF,DF",Augsburg,28-301,1997,20,16,"1,387",15.4,1,1,2,1,0,0,4,0,0.06,0.06,0.13,0.06,0.13,Matches
183,Ísak Jóhannesson,is ISL,MF,Köln,22-353,2003,23,15,"1,275",14.2,1,1,2,1,0,0,3,0,0.07,0.07,0.14,0.07,0.14,Matches
184,Anton Kade,de GER,"MF,FW",Augsburg,22-053,2004,19,11,"1,059",11.8,2,0,2,2,0,0,3,0,0.17,0,0.17,0.17,0.17,Matches
185,Mikkel Kaufmann,dk DEN,FW,Heidenheim,25-067,2001,13,6,494,5.5,1,1,2,1,0,0,2,0,0.18,0.18,0.36,0.18,0.36,Matches
186,Luca Kerber,de GER,MF,Heidenheim,24-001,2002,12,6,485,5.4,2,0,2,2,0,0,2,0,0.37,0,0.37,0.37,0.37,Matches
187,Derrick Köhn,gh GHA,"MF,DF",Union Berlin,27-035,1999,23,17,"1,525",16.9,1,1,2,0,1,1,3,1,0.06,0.06,0.12,0,0.06,Matches
188,Rasmus Kristensen,dk DEN,"DF,MF",Eintracht Frankfurt,28-243,1997,19,18,"1,421",15.8,2,0,2,2,0,0,4,0,0.13,0,0.13,0.13,0.13,Matches
189,Marin Ljubicic,hr CRO,FW,Union Berlin,24-011,2002,2,0,22,0.2,2,0,2,2,0,0,0,0,8.18,0,8.18,8.18,8.18,Matches
190,Linton Maina,de GER,"MF,FW",Köln,26-261,1999,15,6,624,6.9,2,0,2,2,0,0,0,0,0.29,0,0.29,0.29,0.29,Matches
191,Patrick Mainka,de GER,DF,Heidenheim,31-125,1994,25,25,"2,250",25,1,1,2,1,0,0,1,0,0.04,0.04,0.08,0.04,0.08,Matches
192,Chrislain Matsima,fr FRA,DF,Augsburg,23-300,2002,14,14,"1,260",14,1,1,2,1,0,0,5,0,0.07,0.07,0.14,0.07,0.14,Matches
193,William Mikelbrencis,fr FRA,"MF,DF",Hamburger SV,22-014,2004,19,9,859,9.5,0,2,2,0,0,0,2,0,0,0.21,0.21,0,0.21,Matches
194,Kim Min-jae,kr KOR,DF,Bayern Munich,29-116,1996,17,12,"1,038",11.5,1,1,2,1,0,0,1,0,0.09,0.09,0.17,0.09,0.17,Matches
195,Max Moerstedt,de GER,FW,Hoffenheim,20-055,2006,17,1,370,4.1,2,0,2,2,0,0,2,0,0.49,0,0.49,0.49,0.49,Matches
196,Stanley N'Soki,fr FRA,"DF,MF",Union Berlin,26-336,1999,10,7,615,6.8,1,1,2,1,0,0,2,0,0.15,0.15,0.29,0.15,0.29,Matches
