"number";"player";"team";"apps";"min";"goals";"a";"xG";"xA";"xG90";"xA90"
220;"Christantus Uche";"Getafe";3;270;1;1;1.44;0.64;0.48;0.21
221;"Abel Bretones";"Osasuna";21;1398;1;0;0.58;0.44;0.04;0.03
222;"Luka Sucic";"Real Sociedad";12;509;1;1;1.07;0.25;0.19;0.04
223;"Enzo Boyomo";"Osasuna";20;1644;1;1;0.66;1.34;0.04;0.07
224;"Santiago Mouriño";"Villarreal";20;1711;1;2;1.12;0.78;0.06;0.04
225;"Goduine Koyalipou";"Levante";11;217;1;0;1.27;0.36;0.52;0.15
226;"Vitor Reis";"Girona";26;2237;1;1;1.47;0.81;0.06;0.03
227;"Maroan Sannadi";"Athletic Club";8;246;1;0;0.96;0.59;0.35;0.22
228;"Miguel Román";"Celta Vigo";19;1297;1;0;1.1;2.09;0.08;0.15
229;"Alejandro Rego";"Athletic Club";19;671;1;0;0.52;0.39;0.07;0.05
230;"Unai Elgezabal";"Levante";12;963;1;0;0.62;0.13;0.06;0.01
231;"Tyrhys Dolan";"Espanyol";26;1787;1;3;2.42;2.94;0.12;0.15
232;"Marc Aguado";"Elche";26;1860;1;1;0.13;0.09;0.01;0
233;"Valentín Gómez";"Real Betis";19;1194;1;0;0.91;0.36;0.07;0.03
234;"Franco Mastantuono";"Real Madrid";16;772;1;0;2.09;2.44;0.24;0.28
235;"Jon Gorrotxategi";"Real Sociedad";24;1876;1;3;0.79;0.84;0.04;0.04
236;"David Carmo";"Real Oviedo";21;1718;1;0;0.96;0.51;0.05;0.03
237;"Adam El Mokhtari";"Elche";7;85;1;0;0.27;0.07;0.28;0.08
238;"Kervin Arriaga";"Levante";18;1122;1;1;0.27;0.4;0.02;0.03
239;"Alemão";"Rayo Vallecano";16;627;1;0;2.1;0.24;0.3;0.03
240;"Roony Bardghji";"Barcelona";15;292;1;1;1.48;1.71;0.46;0.53
241;"Álvaro Fidalgo";"Real Betis";5;376;1;0;0.51;0.12;0.12;0.03
242;"Andreas Christensen";"Barcelona";12;346;0;0;0.13;0.02;0.03;0
243;"Ørjan Nyland";"Sevilla";4;360;0;0;0;0;0;0
244;"Ricardo Rodríguez";"Real Betis";18;1210;0;1;0.12;0.44;0.01;0.03
245;"Adnan Januzaj";"Sevilla";12;283;0;0;0.26;0.67;0.08;0.21
246;"Odisseas Vlachodimos";"Sevilla";23;2070;0;0;0;0;0;0
247;"David Alaba";"Real Madrid";8;244;0;0;0.18;0;0.07;0
248;"Héctor Bellerín";"Real Betis";16;1084;0;2;0.2;2.85;0.02;0.24
249;"Daley Blind";"Girona";25;2129;0;0;0.05;0.7;0;0.03
250;"Nyom";"Getafe";11;286;0;0;0.13;0.11;0.04;0.03
251;"Thibaut Courtois";"Real Madrid";27;2430;0;0;0;0;0;0
252;"César Azpilicueta";"Sevilla";14;1017;0;1;0;0.53;0;0.05
253;"Santiago Cazorla";"Real Oviedo";18;543;0;1;0.22;1.49;0.04;0.25
254;"Paulo Gazzaniga";"Girona";24;2112;0;0;0;0;0;0
255;"Wojciech Szczesny";"Barcelona";6;540;0;0;0;0;0;0
256;"Matías Vecino";"Celta Vigo";3;72;0;0;0.04;0;0.05;0
257;"Ovie Ejaria";"Real Oviedo";7;181;0;0;0.22;0.08;0.11;0.04
258;"Trent Alexander-Arnold";"Real Madrid";13;645;0;2;0.16;1.34;0.02;0.19
259;"Antonio Rüdiger";"Real Madrid";10;851;0;0;0.69;0.25;0.07;0.03
260;"Ionut Radu";"Celta Vigo";27;2430;0;0;0;0;0;0
261;"David López";"Girona";3;207;0;0;0.65;0;0.28;0
262;"Marc-André ter Stegen";"Girona";2;180;0;0;0;0;0;0
263;"Pau López";"Real Betis";8;720;0;0;0;0;0;0
264;"Joan Jordán";"Sevilla";3;15;0;0;0;0;0;0
265;"Moi Gómez";"Osasuna";19;943;0;1;0.42;1.05;0.04;0.1
266;"Aritz Elustondo";"Real Sociedad";9;368;0;0;0.47;0;0.11;0
267;"Yuri";"Athletic Club";23;1930;0;3;0.35;2.45;0.02;0.11
268;"Isco";"Real Betis";1;29;0;1;0.1;0.46;0.32;1.42
269;"Daniel Carvajal";"Real Madrid";10;496;0;0;0.14;1.04;0.03;0.19
270;"Jan Oblak";"Atletico Madrid";26;2340;0;0;0;0;0;0
271;"Giménez";"Atletico Madrid";12;991;0;1;1.54;0.5;0.14;0.05
272;"Jonny";"Alaves";26;2286;0;0;0.82;1.01;0.03;0.04
273;"Thomas Partey";"Villarreal";17;702;0;0;0.33;0.19;0.04;0.02
274;"Aarón";"Real Oviedo";27;2430;0;0;0;0.05;0;0
275;"Pedro Bigas";"Elche";19;1487;0;2;0.8;1.72;0.05;0.1
276;"Daniel Parejo";"Villarreal";23;1047;0;0;0.15;1.61;0.01;0.14
277;"João Cancelo";"Barcelona";5;272;0;1;0.11;1.4;0.04;0.46
278;"Mat Ryan";"Levante";25;2250;0;0;0.09;0;0;0
279;"Íñigo Lekue";"Athletic Club";8;437;0;0;0.13;0;0.03;0
280;"David Soria";"Getafe";27;2430;0;0;0;0.05;0;0
281;"Igor Zubeldia";"Real Sociedad";20;1750;0;1;0.32;0.61;0.02;0.03
282;"Dani Ceballos";"Real Madrid";15;438;0;0;0.08;0.59;0.02;0.12
283;"Toni Lato";"Mallorca";8;398;0;1;0;0.45;0;0.1
284;"Aymeric Laporte";"Athletic Club";16;1312;0;1;0.51;0.39;0.03;0.03
285;"Dimitri Foulquier";"Valencia";15;1149;0;0;0.43;0.24;0.03;0.02
286;"Marcos Llorente";"Atletico Madrid";23;1752;0;4;1.71;4.12;0.09;0.21
287;"Remiro";"Real Sociedad";27;2430;0;0;0;0.11;0;0
288;"Raíllo";"Mallorca";21;1855;0;1;0.62;0.3;0.03;0.01
289;"Dani Calvo";"Real Oviedo";12;964;0;0;0;0.46;0;0.04
290;"Gerard Gumbau";"Rayo Vallecano";19;642;0;1;0.36;0.49;0.05;0.07
291;"Stole Dimitrievski";"Valencia";9;810;0;0;0;0;0;0
