"number";"player";"team";"apps";"min";"goals";"a";"xG";"xA";"xG90";"xA90"
296;"Haris Belkebla";"Angers";24;2102;0;0;0.12;0.43;0.01;0.02
297;"Donovan Léon";"Auxerre";23;2025;0;0;0;0.06;0;0
298;"Brendan Chardonnet";"Brest";23;2015;0;3;0.64;1.39;0.03;0.06
299;"Thomas Delaine";"Le Havre";5;200;0;0;0.08;0.23;0.04;0.11
300;"Uros Radakovic";"Nantes";4;15;0;0;0;0;0;0
301;"Mbwana Samatta";"Le Havre";18;939;0;0;3.77;0.99;0.36;0.1
302;"Lucas Gourna Douath";"Le Havre";7;626;0;0;0.08;0.05;0.01;0.01
303;"Lucas Chevalier";"Paris Saint Germain";17;1530;0;0;0;0;0;0
304;"Radoslaw Majecki";"Brest";10;868;0;0;0;0;0;0
305;"Wout Faes";"Monaco";6;478;0;0;0.46;0;0.09;0
306;"Thibault De Smet";"Paris FC";16;1063;0;1;0.19;0.36;0.02;0.03
307;"Facundo Medina";"Marseille";9;661;0;0;0.01;0.07;0;0.01
308;"Lilian Brassier";"Rennes";20;1623;0;1;0.8;0.77;0.04;0.04
309;"Cheick Tidiane Sabaly";"Metz";14;972;0;2;1.43;1.88;0.13;0.17
310;"Timothee Pembele";"Le Havre";6;196;0;0;0.06;0.03;0.03;0.01
311;"Kevin Omoruyi";"Nice";16;747;0;0;3.85;0.09;0.46;0.01
312;"Sékou Mara";"Auxerre";20;876;0;1;1.59;0.52;0.16;0.05
313;"Reda Khadra";"Le Havre";7;198;0;0;0.26;0.2;0.12;0.09
314;"Naouirou Ahamada";"Auxerre";7;358;0;0;0.29;0.32;0.07;0.08
315;"Krépin Diatta";"Monaco";14;840;0;1;0.28;1.76;0.03;0.19
316;"Antoine Mendy";"Nice";16;1295;0;0;1.24;0.04;0.09;0
317;"Andy Diouf";"Lens";1;90;0;0;0.18;0;0.18;0
318;"Mamadou Mbow";"Paris FC";24;2081;0;1;0.44;0.52;0.02;0.02
319;"Grégoire Coudert";"Brest";16;1378;0;0;0;0;0;0
320;"Christopher Wooh";"Rennes";2;64;0;0;0;0;0;0
321;"Deiver Machado";"Lens,Nantes";13;775;0;1;0.67;0.4;0.08;0.05
322;"Salis Abdul Samed";"Nice";14;684;0;0;0;0.01;0;0
323;"Alidu Seidu";"Rennes";15;804;0;1;0.06;1.11;0.01;0.12
324;"Pablo Rosario";"Nice";1;19;0;0;0.08;0.1;0.38;0.48
325;"Billal Brahimi";"Nice";1;1;0;0;0;0.1;0;8.89
326;"Bradley Locko";"Brest";18;1176;0;1;0.07;0.97;0.01;0.07
327;"Bilal Nadir";"Marseille";18;534;0;4;0.37;1.77;0.06;0.3
328;"Bamo Meïté";"Lorient";19;1515;0;3;0.79;1.2;0.05;0.07
329;"Dominik Greif";"Lyon";21;1890;0;1;0;0.07;0;0
330;"Gideon Mensah";"Auxerre";22;1644;0;0;0.01;1.06;0;0.06
331;"Axel Camblan";"Brest";1;6;0;0;0;0.03;0;0.41
332;"Andrew Omobamidele";"Strasbourg";17;835;0;0;0.37;0;0.04;0
333;"Montassar Talbi";"Lorient";24;2160;0;1;0.6;0.24;0.02;0.01
334;"Felix Lemarechal";"Strasbourg";11;556;0;2;0.91;1.24;0.15;0.2
335;"Diego Coppola";"Paris FC";4;360;0;0;0;0;0;0
336;"Jonathan Rowe";"Marseille";1;69;0;0;0.42;0;0.55;0
337;"CJ Egan-Riley";"Marseille";9;484;0;0;0;0.51;0;0.09
338;"Jacques Ekomie";"Angers";25;1679;0;0;0.79;1.22;0.04;0.07
339;"Vanderson";"Monaco";14;609;0;2;0.15;1.36;0.02;0.2
340;"Ismaël Doukouré";"Strasbourg";19;1591;0;1;0.51;0.68;0.03;0.04
341;"Ugo Raghouber";"Lille";1;1;0;0;0;0;0;0
342;"Soumaila Coulibaly";"Brest";12;1068;0;0;0.3;0.01;0.03;0
343;"Nicolás Tagliafico";"Lyon";17;1112;0;3;1.74;1.97;0.14;0.16
344;"Johann Lepenant";"Nantes";19;1469;0;1;0.56;1.51;0.03;0.09
345;"Robin Risser";"Lens";25;2250;0;1;0;0.07;0;0
346;"Ben Seghir";"Monaco";2;40;0;0;0.06;0;0.15;0
347;"Mory Diaw";"Le Havre";21;1852;0;1;0;0.27;0;0.01
348;"Rasmus Nicolaisen";"Toulouse";24;1862;0;0;0.57;0.04;0.03;0
349;"Branco van den Boomen";"Angers";6;455;0;1;0.27;0.69;0.05;0.14
350;"Alexsandro Ribeiro";"Lille";7;509;0;0;0.25;0;0.04;0
351;"Darline Yongwa";"Lorient";19;1080;0;1;0.67;1.78;0.06;0.15
352;"Michel Diaz";"Brest";14;1105;0;0;0.25;0.03;0.02;0
353;"Badredine Bouanani";"Nice";2;88;0;0;0.06;0.04;0.06;0.04
354;"Christian Mawissa Elebi";"Monaco";9;611;0;0;0;0;0;0
355;"Sael Kumbedi";"Lyon";1;69;0;0;0.03;0;0.04;0
356;"Théo De Percin";"Auxerre";3;221;0;0;0;0;0;0
357;"Mamadou Sarr";"Strasbourg";15;1306;0;0;0.05;0.04;0;0
358;"Warren Kamanzi";"Toulouse";16;536;0;0;0.35;0.52;0.06;0.09
359;"David Datro Fofana";"Strasbourg";2;68;0;0;0.3;0.03;0.4;0.04
360;"Ibrahim Salah";"Rennes";2;22;0;0;0.05;0;0.2;0
361;"Justin-Noel Kalumba";"Angers";4;224;0;0;0.02;0.27;0.01;0.11
362;"Jérémy Jacquet";"Rennes";19;1678;0;0;0.79;0.57;0.04;0.03
363;"Tiago Santos";"Lille";12;699;0;0;0.37;0.73;0.05;0.09
364;"Ousmane Touré";"Lille";1;57;0;0;0;0;0;0
365;"Formose Mendy";"Lorient";2;142;0;0;0;0;0;0
366;"Guillaume Restes";"Toulouse";25;2250;0;0;0;0.06;0;0
367;"Philipp Köhn";"Monaco";19;1615;0;0;0;0;0;0
368;"Loïc Négo";"Le Havre";22;1857;0;0;0.35;1.38;0.02;0.07
369;"Étienne Youté";"Le Havre";7;324;0;0;0;0.04;0;0.01
370;"Maxime Colin";"Metz";17;1276;0;0;0.23;0.13;0.02;0.01
371;"Lamine Camara";"Monaco";16;1221;0;3;0.73;3.28;0.05;0.24
372;"Malick Mbaye";"Metz";5;302;0;0;0.08;0.14;0.02;0.04
373;"Abakar Sylla";"Nantes,Strasbourg";3;68;0;0;0.38;0;0.51;0
374;"Clinton Mata";"Lyon";24;2125;0;0;0.12;0.09;0.01;0
375;"William Pacho";"Paris Saint Germain";18;1460;0;0;0.31;0.09;0.02;0.01
376;"Mohamed Kaba";"Nantes";6;450;0;1;0.13;0.51;0.03;0.1
377;"Fodé Sylla";"Lens";2;63;0;0;0;0;0;0
378;"Joseph N&#039;Duquidi";"Metz";1;4;0;0;0;0;0;0
379;"Joel Mvuka";"Lorient";15;549;0;0;0.7;1.01;0.11;0.17
380;"Fabian Rieder";"Rennes";3;144;0;0;0.01;0.27;0.01;0.17
381;"Bertug Yildirim";"Rennes";1;1;0;0;0;0.12;0;10.85
382;"Roman Yaremchuk";"Lyon";4;132;0;1;0.28;0.37;0.19;0.25
383;"Gabriel Osho";"Auxerre";2;139;0;0;0;0;0;0
384;"Mahamadou Nagida";"Rennes";10;459;0;0;0.49;0.03;0.1;0.01
385;"Ayyoub Bouaddi";"Lille";22;1689;0;1;0.99;1.51;0.05;0.08
386;"Kassoum Ouattara";"Monaco";14;987;0;3;1.19;2.7;0.11;0.25
387;"Paris Brunner";"Monaco";6;107;0;0;0.08;0;0.07;0
388;"Luc Zogbe";"Brest";6;100;0;0;0.03;0.08;0.03;0.08
389;"Samir El Mourabet";"Strasbourg";25;1646;0;1;0.31;1.67;0.02;0.09
390;"Nhoa Sangui";"Paris FC";18;1092;0;0;0.12;1.11;0.01;0.09
391;"Noah Edjouma";"Lille,Toulouse";15;319;0;0;0.67;0.49;0.19;0.14
392;"Anthony Bermont";"Lens";8;45;0;0;0.08;0;0.16;0
393;"Lucas Michal";"Metz,Monaco";6;224;0;0;0.07;0.05;0.03;0.02
394;"Panos Katseris";"Lorient";7;211;0;0;0.43;0.64;0.18;0.27
395;"Nathaniel Adjei";"Lorient";7;211;0;0;0;0;0;0
396;"Dehmaine Assoumani";"Nantes";21;992;0;0;0.93;1.71;0.08;0.16
397;"Arthur Vermeeren";"Marseille";14;608;0;1;0.04;0.21;0.01;0.03
398;"Rabby Nzingoula";"Strasbourg";4;44;0;0;0.05;0.07;0.1;0.15
399;"Simon Ebonog";"Le Havre";22;1312;0;0;1.12;0.28;0.08;0.02
400;"Djaoui Cissé";"Rennes";20;920;0;0;0.7;0.71;0.07;0.07
401;"Paul Argney";"Le Havre";1;90;0;0;0;0;0;0
402;"Mikayil Faye";"Rennes";1;5;0;0;0;0;0;0
403;"Vincent Burlet";"Lille";1;13;0;0;0;0.34;0;2.38
404;"Rafik Messali";"Toulouse";12;493;0;0;0;0.64;0;0.12
405;"Darryl Bakola";"Marseille";8;46;0;0;0.04;0.03;0.08;0.05
406;"Daren Mosengo";"Le Havre";5;88;0;0;0;0;0;0
407;"Yanis Zouaoui";"Le Havre";23;1848;0;1;0.44;1.92;0.02;0.09
408;"Derek Cornelius";"Marseille";2;58;0;0;0;0;0;0
409;"Jeffrey de Lange";"Marseille";4;360;0;0;0;0.1;0;0.03
410;"Mathis Amougou";"Strasbourg";9;261;0;0;0.13;0.11;0.04;0.04
411;"Clément Akpa";"Auxerre";21;1734;0;0;0.24;0.37;0.01;0.02
412;"Theo Bair";"Auxerre";2;4;0;0;0;0;0;0
413;"Lasso Coulibaly";"Auxerre";14;248;0;0;0.26;0.16;0.1;0.06
414;"Dayann Methalie";"Toulouse";21;1493;0;0;0.91;0.94;0.05;0.06
415;"Mark McKenzie";"Toulouse";22;1818;0;2;0.26;2.1;0.01;0.1
416;"Mathieu Acapandié";"Nantes";1;10;0;0;0;0;0;0
417;"Florent Hanin";"Angers";17;607;0;0;0.06;0.27;0.01;0.04
418;"Melvin Zinga";"Angers";2;180;0;0;0;0;0;0
419;"Emmanuel Biumla";"Angers";4;173;0;0;0;0;0;0
420;"Glen Kamara";"Rennes";3;40;0;0;0;0;0;0
421;"Jordan Teze";"Monaco";24;1780;0;0;0.32;2.27;0.02;0.11
422;"Moïse Bombito";"Nice";2;154;0;0;0;0;0;0
423;"Enzo Molébé";"Lyon";1;7;0;0;0;0;0;0
424;"Hong Hyun-Seok";"Nantes";6;281;0;0;0.54;0.04;0.17;0.01
425;"Serigne Diop";"Brest";2;2;0;0;0.1;0;4.28;0
426;"Damián Pizarro";"Le Havre";2;15;0;0;0;0;0;0
427;"Patrik Carlgren";"Nantes";2;91;0;0;0;0;0;0
428;"Jaydee Canvot";"Toulouse";2;180;0;0;0.1;0;0.05;0
429;"Juma Bah";"Nice";19;1358;0;0;0.77;1.53;0.05;0.1
430;"Sékou Doucouré";"Nantes";1;37;0;0;0;0;0;0
431;"Kyllian Antonio";"Lens";2;117;0;0;0.05;0;0.04;0
432;"Marius Courcoul";"Angers";17;318;0;0;0.05;0.13;0.02;0.04
433;"Marius Louãr";"Angers";3;12;0;0;0;0.07;0;0.5
434;"Samuel Nibombé";"Monaco";1;1;0;0;0;0;0;0
435;"Mathis Saka";"Toulouse";1;2;0;0;0;0;0;0
436;"Aladji Bamba";"Monaco";10;395;0;0;0;0.16;0;0.04
437;"Everton Pereira";"Nice";2;71;0;0;0.03;0;0.03;0
438;"Bernard Nguene";"Nice";6;111;0;0;0.18;0;0.14;0
439;"Raphaël Le Guen";"Brest";1;1;0;0;0;0;0;0
440;"Goduine Koyalipou";"Angers";6;427;0;0;1.56;0.18;0.33;0.04
441;"Henrick Do Marcolino";"Rennes";1;1;0;0;0;0;0;0
442;"Justin Bourgault";"Brest";1;12;0;0;0.03;0;0.25;0
443;"Fredrik Oppegård";"Auxerre";17;861;0;0;0.48;0.61;0.05;0.06
444;"Nidal Celik";"Lens";4;320;0;0;0;0;0;0
445;"Aaron Anselmino";"Strasbourg";2;2;0;0;0;0;0;0
446;"Hamidou Makalou";"Brest";11;134;0;0;0.04;0.15;0.03;0.1
447;"Rudy Matondo";"Auxerre,Paris FC";19;785;0;0;0.24;0.16;0.03;0.02
448;"Noham Kamara";"Lyon";1;1;0;0;0;0;0;0
449;"Telli Siwe";"Auxerre";3;230;0;0;0.02;0.04;0.01;0.02
450;"Lanroy Machine";"Angers";14;187;0;0;0.94;0.01;0.45;0.01
451;"Andrija Bulatovic";"Lens";12;480;0;1;0.61;1.07;0.11;0.2
452;"Khalis Merah";"Lyon";16;788;0;1;0.97;1.14;0.11;0.13
453;"Mathys de Carvalho";"Lyon";10;278;0;0;0.37;0.04;0.12;0.01
454;"Ayumu Seko";"Le Havre";22;1909;0;0;0.88;0.42;0.04;0.02
455;"Godson Kyeremeh";"Le Havre";10;325;0;1;0.25;0.5;0.07;0.14
456;"Lionel Mpasi";"Le Havre";4;308;0;0;0;0;0;0
457;"Dro Fernández";"Paris Saint Germain";5;225;0;0;0.53;0.06;0.21;0.02
458;"Gabin Bernardeau";"Nice";4;90;0;0;0.1;0.11;0.1;0.11
459;"Hamza Koutoune";"Nice";1;1;0;0;0;0;0;0
460;"Mário Sauer";"Toulouse";19;555;0;0;0.27;0.08;0.04;0.01
461;"Seny Koumbassa";"Toulouse";3;60;0;0;0;0;0;0
462;"Berke Özer";"Lille";23;2070;0;1;0;0.08;0;0
463;"Maxima Goffi";"Lille";1;33;0;0;0;0;0;0
464;"Arnaud Bodart";"Lille";2;180;0;0;0;0;0;0
465;"Ibrahim Osman";"Auxerre";14;631;0;2;1.94;1.18;0.28;0.17
466;"Lamine Sy";"Auxerre";16;972;0;0;0.63;1.19;0.06;0.11
467;"Oumar Pona";"Angers";1;90;0;0;0;0;0;0
468;"Obed Nkambadio";"Paris FC";11;990;0;0;0;0.01;0;0
469;"Julien Lopez";"Paris FC";5;31;0;0;0;0;0;0
470;"Tuomas Ollila";"Paris FC";9;294;0;0;0.07;0.15;0.02;0.05
471;"Jonathan Fischer";"Metz";25;2169;0;0;0;0.03;0;0
472;"Michel Mboula";"Metz";9;494;0;0;0.11;0;0.02;0
473;"Brian Madjo";"Metz";5;157;0;0;0.32;0;0.18;0
474;"Idrissa Gueye";"Metz";3;126;0;0;0.12;0;0.09;0
475;"Alpha Touré";"Metz";25;1255;0;1;0.87;0.34;0.06;0.02
476;"Pape Sy";"Metz";1;81;0;0;0;0;0;0
477;"Morgan Bokele";"Metz";10;208;0;0;0.21;0.09;0.09;0.04
478;"Mike Penders";"Strasbourg";24;2160;0;0;0;0;0;0
479;"Lucas Høgsberg";"Strasbourg";16;1261;0;0;0.22;0;0.02;0
480;"Maxi Oyedele";"Strasbourg";2;13;0;0;0;0;0;0
