,,,,,,,Playing Time,,,,Performance,,,,,,,,Per 90 Minutes,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
,,,,,,,,,,,,,?,,,,,,,,,,,
161,Nouha Dicko,ml MLI,"FW,MF",Paris FC,33-301,1992,8,0,72,0.8,1,1,2,1,0,0,0,0,1.25,1.25,2.5,1.25,2.5,Matches
162,Junior Dina Ebimbe,cm CMR,"MF,FW",Brest,25-110,2000,19,8,644,7.2,2,0,2,2,0,0,1,0,0.28,0,0.28,0.28,0.28,Matches
163,Sinaly Diomande,ci CIV,DF,Auxerre,24-336,2001,15,15,"1,321",14.7,1,1,2,1,0,0,3,1,0.07,0.07,0.14,0.07,0.14,Matches
164,Ismaëlo Ganiou,bf BFA,DF,Lens,20-362,2005,14,14,"1,242",13.8,2,0,2,2,0,0,3,1,0.14,0,0.14,0.14,0.14,Matches
165,Jean-Philippe Gbamin,ci CIV,DF,Metz,30-167,1995,22,22,"1,827",20.3,1,1,2,1,0,0,2,1,0.05,0.05,0.1,0.05,0.1,Matches
166,Alimami Gory,ml MLI,"MF,DF",Paris FC,29-193,1996,17,7,718,8,1,1,2,1,0,0,0,0,0.13,0.13,0.25,0.13,0.25,Matches
167,Lucas Hernández,fr FRA,DF,Paris Saint-Germain,30-025,1996,17,13,"1,161",12.9,0,2,2,0,0,0,2,0,0,0.16,0.16,0,0.16,Matches
168,Stanis Idumbo,be BEL,MF,Monaco,20-255,2005,8,0,171,1.9,1,1,2,1,0,0,0,0,0.53,0.53,1.05,0.53,1.05,Matches
169,George Ilenikhena,ng NGA,FW,Monaco,19-207,2006,15,3,385,4.3,2,0,2,2,0,0,0,0,0.47,0,0.47,0.47,0.47,Matches
170,Hamed Junior Traorè,ci CIV,MF,Marseille,26-023,2000,7,4,342,3.8,1,1,2,1,0,0,1,0,0.26,0.26,0.53,0.26,0.53,Matches
171,Yassine Kechta,ma MAR,MF,Le Havre,24-014,2002,23,12,"1,055",11.7,1,1,2,1,0,0,3,0,0.09,0.09,0.17,0.09,0.17,Matches
172,Koffi Kouao,ci CIV,"DF,MF",Metz,27-295,1998,21,21,"1,771",19.7,1,1,2,1,0,0,8,0,0.05,0.05,0.1,0.05,0.1,Matches
173,Mayckel Lahdo,se SWE,"FW,MF",Nantes,23-071,2002,8,5,415,4.6,1,1,2,1,0,0,0,0,0.22,0.22,0.43,0.22,0.43,Matches
174,Kenny Lala,mg MAD,DF,Brest,34-159,1991,24,24,"2,137",23.7,0,2,2,0,0,0,3,0,0,0.08,0.08,0,0.08,Matches
175,Pierre Lees-Melou,fr FRA,MF,Paris FC,32-290,1993,15,13,"1,166",13,1,1,2,1,0,0,4,0,0.08,0.08,0.15,0.08,0.15,Matches
176,Jordan Lefort,fr FRA,DF,Angers,32-214,1993,25,25,"2,250",25,0,2,2,0,0,0,2,0,0,0.08,0.08,0,0.08,Matches
177,Félix Lemaréchal,fr FRA,"MF,FW",Strasbourg,22-216,2003,11,7,555,6.2,0,2,2,0,0,0,1,0,0,0.32,0.32,0,0.32,Matches
178,Louis Leroux,fr FRA,"MF,DF",Nantes,20-047,2006,17,14,"1,224",13.6,1,1,2,1,0,0,1,0,0.07,0.07,0.15,0.07,0.15,Matches
179,Gautier Lloris,fr FRA,DF,Le Havre,30-236,1995,22,21,"1,768",19.6,1,1,2,1,0,0,1,1,0.05,0.05,0.1,0.05,0.1,Matches
180,Hugo Magnetti,fr FRA,MF,Brest,27-285,1998,24,23,"1,999",22.2,1,1,2,1,0,0,4,1,0.05,0.05,0.09,0.05,0.09,Matches
181,Vincent Marchetti,fr FRA,MF,Paris FC,28-250,1997,19,9,764,8.5,2,0,2,2,0,0,1,0,0.24,0,0.24,0.24,0.24,Matches
182,Mark McKenzie,us USA,DF,Toulouse,27-014,1999,22,20,"1,817",20.2,0,2,2,0,0,0,6,0,0,0.1,0.1,0,0.1,Matches
183,Terem Moffi,ng NGA,FW,Nice,26-290,1999,10,6,488,5.4,2,0,2,2,0,0,0,0,0.37,0,0.37,0.37,0.37,Matches
184,Junior Mwanga,fr FRA,MF,Nantes,22-304,2003,15,15,"1,260",14,1,1,2,1,0,0,2,1,0.07,0.07,0.14,0.07,0.14,Matches
