,,,,,,,Playing Time,,,,Performance,,,,,,,,Per 90 Minutes,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
,,,,,,,,,,,,,?,,,,,,,,,,,
213,Jonathan Rowe,eng ENG,"MF,FW",Bologna,22-315,2003,19,12,"1,088",12.1,1,1,2,1,0,0,2,0,0.08,0.08,0.17,0.08,0.17,Matches
214,Amir Rrahmani,xk KVX,DF,Napoli,32-015,1994,16,16,"1,356",15.1,1,1,2,1,0,0,2,0,0.07,0.07,0.13,0.07,0.13,Matches
215,Antonio Sanabria,py PAR,FW,Cremonese,30-007,1996,20,7,694,7.7,1,1,2,1,0,0,2,0,0.13,0.13,0.26,0.13,0.26,Matches
216,Alisson Santos,br BRA,MF,Napoli,23-165,2002,4,3,255,2.8,2,0,2,2,0,0,0,0,0.71,0,0.71,0.71,0.71,Matches
217,Giorgio Scalvini,it ITA,DF,Atalanta,22-090,2003,14,13,"1,021",11.3,2,0,2,2,0,0,2,0,0.18,0,0.18,0.18,0.18,Matches
218,Suat Serdar,de GER,MF,Hellas Verona,28-334,1997,20,12,"1,108",12.3,2,0,2,2,0,0,3,0,0.16,0,0.16,0.16,0.16,Matches
219,Stephan El Shaarawy,it ITA,"MF,FW",Roma,33-135,1992,13,3,389,4.3,0,2,2,0,0,0,2,0,0,0.46,0.46,0,0.46,Matches
220,Manor Solomon,il ISR,"FW,MF",Fiorentina,26-230,1999,9,5,477,5.3,2,0,2,2,0,0,0,0,0.38,0,0.38,0.38,0.38,Matches
221,Filippo Terracciano,it ITA,DF,Cremonese,23-031,2003,26,24,"2,216",24.6,2,0,2,2,0,0,5,0,0.08,0,0.08,0.08,0.08,Matches
222,Fikayo Tomori,eng ENG,DF,Milan,28-082,1997,25,23,"2,034",22.6,0,2,2,0,0,0,4,0,0,0.09,0.09,0,0.09,Matches
223,Emanuele Valeri,it ITA,"MF,DF",Parma,27-094,1998,24,20,"1,851",20.6,0,2,2,0,0,0,2,0,0,0.1,0.1,0,0.1,Matches
224,Franco Vázquez,ar ARG,"FW,MF",Cremonese,37-017,1989,15,4,524,5.8,1,1,2,1,0,0,1,0,0.17,0.17,0.34,0.17,0.34,Matches
225,Alessio Zerbin,it ITA,MF,Cremonese,27-008,1999,23,13,"1,269",14.1,0,2,2,0,0,0,1,0,0,0.14,0.14,0,0.14,Matches
226,Nadir Zortea,it ITA,DF,Bologna,26-265,1999,23,14,"1,442",16,0,2,2,0,0,0,1,0,0,0.12,0.12,0,0.12,Matches
