Playing Time,Performance,Per 90 Minutes,,,,,,,,,,,,,,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,,,,,,,,,,,
?,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,,,,,,,,,,,,,
30,Federico Valverde,uy URU,"MF,DF",Real Madrid,27-232,1998,26,24,"2,157",24,2,7,9,2,0,0,2,0,0.08,0.29,0.38,0.08,0.38,Matches
31,Hugo Duro,es ESP,FW,Valencia,26-121,1999,26,16,"1,454",16.2,8,0,8,7,1,1,4,0,0.5,0,0.5,0.43,0.43,Matches
32,Álvaro García,es ESP,"MF,FW",Rayo Vallecano,33-135,1992,27,20,"1,807",20.1,4,4,8,4,0,0,3,0,0.2,0.2,0.4,0.2,0.4,Matches
33,Luis Milla,es ESP,MF,Getafe,31-155,1994,26,26,"2,294",25.5,0,8,8,0,0,0,3,1,0,0.31,0.31,0,0.31,Matches
34,Giuliano Simeone,ar ARG,MF,Atlético Madrid,23-083,2002,24,20,"1,754",19.5,3,5,8,3,0,0,1,0,0.15,0.26,0.41,0.15,0.41,Matches
35,Mauro Arambarri,uy URU,MF,Getafe,30-162,1995,27,27,"2,383",26.5,5,2,7,3,2,2,4,0,0.19,0.08,0.26,0.11,0.19,Matches
36,Iago Aspas,es ESP,"FW,MF",Celta Vigo,38-222,1987,23,8,814,9,4,3,7,2,2,2,3,0,0.44,0.33,0.77,0.22,0.55,Matches
37,Jude Bellingham,eng ENG,MF,Real Madrid,22-255,2003,18,15,"1,291",14.3,4,3,7,4,0,0,1,0,0.28,0.21,0.49,0.28,0.49,Matches
38,Tajon Buchanan,ca CAN,MF,Villarreal,27-031,1999,25,16,"1,448",16.1,6,1,7,6,0,0,7,0,0.37,0.06,0.44,0.37,0.44,Matches
39,Karl Etta Eyong,cm CMR,FW,Levante,22-148,2003,22,15,"1,328",14.8,5,2,7,5,0,1,2,0,0.34,0.14,0.47,0.34,0.47,Matches
40,Edu Expósito,es ESP,MF,Espanyol,29-222,1996,25,21,"1,666",18.5,1,6,7,1,0,0,5,0,0.05,0.32,0.38,0.05,0.38,Matches
41,Roberto Férnandez,es ESP,FW,Espanyol,23-251,2002,27,19,"1,786",19.8,5,2,7,4,1,1,3,0,0.25,0.1,0.35,0.2,0.3,Matches
42,Rubén García,es ESP,"MF,FW",Osasuna,32-240,1993,25,19,"1,543",17.1,2,5,7,2,0,0,5,0,0.12,0.29,0.41,0.12,0.41,Matches
43,Antoine Griezmann,fr FRA,FW,Atlético Madrid,34-355,1991,24,6,908,10.1,6,1,7,6,0,0,0,0,0.59,0.1,0.69,0.59,0.69,Matches
44,Gorka Guruzeta,es ESP,"FW,MF",Athletic Club,29-180,1996,24,19,"1,580",17.6,6,1,7,5,1,1,4,1,0.34,0.06,0.4,0.28,0.34,Matches
45,Kiké,es ESP,FW,Espanyol,36-106,1989,26,11,"1,177",13.1,6,1,7,5,1,1,3,0,0.46,0.08,0.54,0.38,0.46,Matches
46,Toni Martínez,es ESP,FW,Alavés,28-254,1997,26,21,"1,769",19.7,5,2,7,5,0,0,1,0,0.25,0.1,0.36,0.25,0.36,Matches
47,Brais Méndez,es ESP,"MF,FW",Real Sociedad,29-063,1997,23,16,"1,340",14.9,5,2,7,4,1,1,4,1,0.34,0.13,0.47,0.27,0.4,Matches
48,Rafa Mir,es ESP,"FW,MF",Elche,28-266,1997,22,17,"1,496",16.6,7,0,7,6,1,2,2,0,0.42,0,0.42,0.36,0.36,Matches
