"number";"player";"team";"apps";"min";"goals";"a";"xG";"xA";"xG90";"xA90"
305;"Alex Kral";"Union Berlin";15;237;0;0;0.19;0.27;0.07;0.1
306;"Tom Krauß";"FC Cologne";21;1460;0;1;0.37;1.09;0.02;0.07
307;"Nick Woltemade";"VfB Stuttgart";1;90;0;0;0;0.35;0;0.35
308;"Giovanni Reyna";"Borussia M.Gladbach";13;384;0;0;0.24;0.72;0.06;0.17
309;"Yannik Keitel";"Augsburg";4;164;0;0;0;0;0;0
310;"Exequiel Palacios";"Bayer Leverkusen";9;358;0;0;0.16;0.13;0.04;0.03
311;"Jessic Ngankam";"Eintracht Frankfurt";3;50;0;0;0;0;0;0
312;"Luca Netz";"Borussia M.Gladbach";15;937;0;2;0.04;2.43;0;0.23
313;"Immanuel Pherai";"Hamburger SV";6;19;0;0;0.03;0;0.14;0
314;"Nathan Tella";"Bayer Leverkusen";10;457;0;2;1.03;1.6;0.2;0.31
315;"Loic Bade";"Bayer Leverkusen";19;1382;0;0;0.92;0.14;0.06;0.01
316;"Xavi Simons";"RasenBallsport Leipzig";1;90;0;0;0;0.03;0;0.03
317;"Felix Agu";"Werder Bremen";8;583;0;0;0.08;0.39;0.01;0.06
318;"Rocco Reitz";"Borussia M.Gladbach";24;2056;0;2;1.79;2.5;0.08;0.11
319;"Tim Siersleben";"FC Heidenheim";14;1084;0;0;0.63;0.12;0.05;0.01
320;"Atakan Karazor";"VfB Stuttgart";23;1552;0;0;1.06;1.56;0.06;0.09
321;"Lorenz Assignon";"VfB Stuttgart";17;763;0;0;0.64;0.52;0.08;0.06
322;"Cenk Özkacar";"FC Cologne";16;976;0;0;0.69;0.14;0.06;0.01
323;"Sepe Elye Wahi";"Eintracht Frankfurt";10;309;0;1;1.03;0.6;0.3;0.17
324;"Joakim Maehle";"Wolfsburg";7;426;0;1;0.26;1.24;0.05;0.26
325;"Warmed Omari";"Hamburger SV";11;807;0;0;0.05;0.24;0.01;0.03
326;"William Mikelbrencis";"Hamburger SV";19;863;0;2;1.19;1.3;0.12;0.14
327;"El Chadaille Bitshiabu";"RasenBallsport Leipzig";7;343;0;0;0.09;0.03;0.02;0.01
328;"Karl Hein";"Werder Bremen";2;180;0;0;0;0;0;0
329;"Maxim Leitsch";"Mainz 05";3;158;0;0;0.02;0;0.01;0
330;"Guilherme Ramos";"Hamburger SV";8;31;0;0;0.12;0;0.35;0
331;"Jesper Lindstrom";"Wolfsburg";8;164;0;0;0.8;0.33;0.44;0.18
332;"Diant Ramaj";"FC Heidenheim";24;2160;0;0;0;0;0;0
333;"Ismaël Gharbi";"Augsburg";5;70;0;0;0.23;0.03;0.29;0.04
334;"Taichi Hara";"St. Pauli";2;21;0;0;0.29;0;1.26;0
335;"Ben Bobzien";"Mainz 05";1;3;0;0;0;0;0;0
336;"Jonas Urbig";"Bayern Munich";8;623;0;0;0;0;0;0
337;"Piero Hincapié";"Bayer Leverkusen";1;90;0;0;0.52;0;0.52;0
338;"Lennard Maloney";"Mainz 05";15;420;0;0;0.48;0.04;0.1;0.01
339;"Noah Atubolu";"Freiburg";25;2250;0;0;0;0.31;0;0.01
340;"Tom Bischof";"Bayern Munich";20;893;0;3;0.96;1.93;0.1;0.19
341;"Jeanuël Belocian";"Bayer Leverkusen,Wolfsburg";13;733;0;1;0.4;0.46;0.05;0.06
342;"Jonas Wind";"Wolfsburg";8;295;0;0;0.8;0.21;0.24;0.07
343;"Kevin Paredes";"Wolfsburg";5;145;0;0;0.06;0.04;0.04;0.03
344;"Lasse Rieß";"Mainz 05";4;290;0;0;0;0;0;0
345;"Umut Tohumcu";"Hoffenheim";5;120;0;0;0.09;0;0.07;0
346;"Diogo Leite";"Union Berlin";16;1387;0;0;0.71;0.2;0.05;0.01
347;"Muhammed Damar";"Hoffenheim";12;235;0;0;1.7;1;0.65;0.38
348;"Ben Seghir";"Bayer Leverkusen";7;186;0;0;0.08;1.21;0.04;0.58
349;"Adam Hlozek";"Hoffenheim";3;16;0;0;0.43;0;2.39;0
350;"Loïs Openda";"RasenBallsport Leipzig";2;54;0;0;0.16;0.05;0.26;0.09
351;"Tim Oermann";"Bayer Leverkusen";1;5;0;0;0;0;0;0
352;"Vinicius Souza";"Wolfsburg";15;1023;0;0;0.05;0.06;0;0.01
353;"Kilian Fischer";"Wolfsburg";11;801;0;0;0.09;0.47;0.01;0.05
354;"Badredine Bouanani";"VfB Stuttgart";12;439;0;0;0.89;0.57;0.18;0.12
355;"Fabio Chiarodia";"Borussia M.Gladbach";9;401;0;0;0.36;0;0.08;0
356;"Denis Huseinbasic";"FC Cologne";14;659;0;0;0.21;0.29;0.03;0.04
357;"Nelson Weiper";"Mainz 05";16;432;0;0;2.42;0.37;0.5;0.08
358;"Sael Kumbedi";"Wolfsburg";17;1268;0;5;0.07;2.27;0.01;0.16
