"number";"player";"team";"apps";"min";"goals";"a";"xG";"xA";"xG90";"xA90"
149;"Eliezer Mayenda";"Sunderland";17;728;2;0;2.01;0.74;0.25;0.09
150;"Estêvão";"Chelsea";19;753;2;2;3.76;2.77;0.45;0.33
151;"Igor Jesus";"Nottingham Forest";28;1718;2;3;4.58;1.81;0.24;0.09
152;"Ao Tanaka";"Leeds";20;753;2;0;1.07;0.89;0.13;0.11
153;"Charalampos Kostoulas";"Brighton";16;264;2;1;1.87;0.68;0.64;0.23
154;"Rayan";"Bournemouth";6;457;2;1;1.09;1.16;0.21;0.23
155;"Granit Xhaka";"Sunderland";25;2086;1;5;0.41;3.07;0.02;0.13
156;"Pascal Groß";"Brighton";10;825;1;1;0.68;1.52;0.07;0.17
157;"James Milner";"Brighton";17;540;1;1;0.92;0.54;0.15;0.09
158;"Ross Barkley";"Aston Villa";12;199;1;0;0.43;0.81;0.19;0.37
159;"Jordan Henderson";"Brentford";27;1660;1;3;0.55;3.01;0.03;0.16
160;"Ben Davies";"Tottenham";3;137;1;0;0.8;0.02;0.52;0.02
161;"Bertrand Traoré";"Sunderland";12;675;1;0;0.62;0.99;0.08;0.13
162;"Tammy Abraham";"Aston Villa";6;145;1;0;1.03;0.13;0.64;0.08
163;"Kyle Walker-Peters";"West Ham";18;937;1;0;1.19;0.23;0.11;0.02
164;"Harrison Reed";"Fulham";5;11;1;0;0.02;0;0.18;0
165;"Axel Tuanzebe";"Burnley";11;939;1;0;0.56;0;0.05;0
166;"Sasa Lukic";"Fulham";19;1215;1;2;1.94;1.46;0.14;0.11
167;"James Tarkowski";"Everton";29;2610;1;1;2.16;1.38;0.07;0.05
168;"Harry Maguire";"Manchester United";16;1047;1;1;0.92;0.19;0.08;0.02
169;"Rodri";"Manchester City";17;1141;1;0;0.91;2.05;0.07;0.16
170;"Martin Odegaard";"Arsenal";20;1057;1;5;1.1;3.97;0.09;0.34
171;"Bernardo Silva";"Manchester City";29;2200;1;4;1.75;4.43;0.07;0.18
172;"Nordi Mukiele";"Sunderland";25;2167;1;3;1.79;2.51;0.07;0.1
173;"Randal Kolo Muani";"Tottenham";21;1229;1;0;2.05;0.87;0.15;0.06
174;"Yoane Wissa";"Newcastle United";12;413;1;0;2.42;0.13;0.53;0.03
175;"Boubacar Kamara";"Aston Villa";18;1434;1;3;1.05;0.73;0.07;0.05
176;"Kenny Tete";"Fulham";21;1715;1;0;0.73;0.95;0.04;0.05
177;"Rodrigo Bentancur";"Tottenham";20;1440;1;1;0.73;0.76;0.05;0.05
178;"Douglas Luiz";"Aston Villa,Nottingham Forest";14;800;1;0;0.66;1.38;0.07;0.15
179;"Enes Ünal";"Bournemouth";15;130;1;0;1.59;0;1.1;0
180;"Ibrahima Konaté";"Liverpool";28;2433;1;0;1.84;0.7;0.07;0.03
181;"Ethan Ampadu";"Leeds";26;2320;1;1;1.42;0.95;0.05;0.04
182;"Jaka Bijol";"Leeds";16;1128;1;1;0.52;0.78;0.04;0.06
183;"David Brooks";"Bournemouth";23;1034;1;2;4.91;3.62;0.43;0.31
184;"Tom Cairney";"Fulham";19;524;1;0;0.62;0.22;0.11;0.04
185;"William Saliba";"Arsenal";24;1979;1;0;1.58;0.38;0.07;0.02
